zone,target_local,target_utc,day_ahead,buy_day_ahead,energy_bid_up,hold_capacity_up,unit
SE3,2026-09-21T08:15:00+02:00,2026-09-21T06:15:00+00:00,100.08,False,105.08,True,EUR/MWh
SE3,2026-09-21T08:30:00+02:00,2026-09-21T06:30:00+00:00,106.93,False,111.93,True,EUR/MWh
SE3,2026-09-21T08:45:00+02:00,2026-09-21T06:45:00+00:00,69.52,False,74.52,True,EUR/MWh
SE3,2026-09-21T09:00:00+02:00,2026-09-21T07:00:00+00:00,74.19,False,79.19,True,EUR/MWh
SE3,2026-09-21T09:15:00+02:00,2026-09-21T07:15:00+00:00,61.24,False,66.24,True,EUR/MWh
SE3,2026-09-21T09:30:00+02:00,2026-09-21T07:30:00+00:00,29.84,False,34.84,True,EUR/MWh
SE3,2026-09-21T09:45:00+02:00,2026-09-21T07:45:00+00:00,20.08,False,25.08,True,EUR/MWh
SE3,2026-09-21T10:00:00+02:00,2026-09-21T08:00:00+00:00,42.97,False,47.97,True,EUR/MWh
SE3,2026-09-21T10:15:00+02:00,2026-09-21T08:15:00+00:00,27.21,False,32.21,True,EUR/MWh
SE3,2026-09-21T10:30:00+02:00,2026-09-21T08:30:00+00:00,12.01,False,17.01,True,EUR/MWh
SE3,2026-09-21T10:45:00+02:00,2026-09-21T08:45:00+00:00,7.36,False,12.36,True,EUR/MWh
SE3,2026-09-21T11:00:00+02:00,2026-09-21T09:00:00+00:00,24.98,False,29.98,True,EUR/MWh
SE3,2026-09-21T11:15:00+02:00,2026-09-21T09:15:00+00:00,13.3,False,18.3,True,EUR/MWh
SE3,2026-09-21T11:30:00+02:00,2026-09-21T09:30:00+00:00,9.97,False,14.97,True,EUR/MWh
SE3,2026-09-21T11:45:00+02:00,2026-09-21T09:45:00+00:00,7.69,False,12.69,True,EUR/MWh
SE3,2026-09-21T12:00:00+02:00,2026-09-21T10:00:00+00:00,14.0,False,19.0,True,EUR/MWh
SE3,2026-09-21T12:15:00+02:00,2026-09-21T10:15:00+00:00,10.48,False,15.48,True,EUR/MWh
SE3,2026-09-21T12:30:00+02:00,2026-09-21T10:30:00+00:00,8.64,False,13.64,True,EUR/MWh
SE3,2026-09-21T12:45:00+02:00,2026-09-21T10:45:00+00:00,7.57,False,12.57,True,EUR/MWh
